,V,maxEdgeCount,maxNodeEdgeCount,GraphT,DAll,DMin,DMax,DNeg,DCofMin,DCofMax,DCountMax,DCountD2,DCountMax2,DCountMin,DEigen,DEigenM,CntMaxW,DLoop,BellmanT,FloydT,Best,EdgeC,MeanEdgeC,lnN,lnN/ln<k>,NoOutgoingC,OrphanedC,ClusCofAvg,PermAvg
0,20,190,19,7.589,0.000,9.505,2.210,2.155,6.394,9.454,0.461,0.000,0.398,11.057,5.208,1.845,2.558,4.494,9.245,0.621,0.000,94.000,4.700,2.996,-0.000,7.000,0.000,0.628,0.000
1,20,190,19,0.453,0.000,6.425,1.962,6.565,0.646,0.605,0.497,0.000,0.609,0.651,0.699,0.505,0.685,1.486,1.810,24.594,0.000,95.000,4.750,2.996,-0.000,8.000,0.000,0.730,0.000
2,20,190,19,0.436,0.000,0.571,40.692,0.583,0.651,2.283,9.481,0.000,2.921,0.496,0.783,8.738,0.751,1.382,1.644,3.996,0.000,78.000,3.900,2.996,-0.000,8.000,0.000,0.735,0.000
3,20,190,19,0.447,0.000,9.117,0.453,0.642,0.428,0.343,0.354,0.000,0.337,0.365,0.426,0.361,1.938,1.768,1.898,0.432,0.000,87.000,4.350,2.996,-0.000,7.000,0.000,0.726,0.000
4,20,190,19,0.280,0.000,0.457,0.422,0.368,0.493,0.544,0.238,0.000,0.236,0.297,0.452,0.377,0.563,1.003,1.678,0.418,0.000,73.000,3.650,2.996,-0.000,10.000,0.000,0.493,0.000
5,20,190,19,0.395,0.000,0.788,0.359,0.315,0.955,0.294,0.197,0.000,0.871,0.209,0.940,2.185,0.714,0.373,1.544,0.441,0.000,81.000,4.050,2.996,-0.000,7.000,0.000,0.591,0.000
6,20,190,19,0.288,0.000,0.332,0.485,0.386,1.310,0.809,0.303,0.000,0.235,0.353,0.355,10.145,2.390,76.062,4.116,0.770,0.000,71.000,3.550,2.996,-0.000,6.000,0.000,0.409,0.000
7,20,190,19,1.918,0.000,1.068,0.458,0.416,7.518,1.322,0.311,0.000,0.642,0.448,6.245,0.569,17.078,0.557,4.008,0.430,0.000,96.000,4.800,2.996,-0.000,6.000,0.000,0.664,0.000
8,20,190,19,16.828,0.000,0.490,3.112,1.601,0.797,0.699,0.465,0.000,0.424,0.390,1.900,12.728,0.794,0.579,30.900,0.164,0.000,96.000,4.800,2.996,-0.000,4.000,0.000,0.767,0.000
9,20,190,19,0.166,0.000,0.477,4.680,0.463,0.489,0.364,0.911,0.000,0.334,0.371,18.284,0.526,0.320,0.394,5.608,0.125,0.000,97.000,4.850,2.996,-0.000,4.000,0.000,0.630,0.000
10,20,190,19,0.188,0.000,0.487,0.488,0.391,1.439,0.556,0.342,0.000,0.337,0.688,2.290,0.396,0.236,0.561,3.091,0.105,0.000,106.000,5.300,2.996,-0.000,4.000,0.000,0.725,0.000
11,20,190,19,0.155,0.000,0.499,0.658,0.563,0.587,0.514,1.085,0.000,0.454,0.616,0.504,0.375,4.286,0.555,2.325,0.121,0.000,80.000,4.000,2.996,-0.000,8.000,0.000,0.675,0.000
12,20,190,19,0.133,0.000,0.351,1.448,0.517,27.290,0.618,1.505,0.000,0.337,0.327,0.419,0.334,0.171,0.370,11.456,0.099,0.000,95.000,4.750,2.996,-0.000,5.000,0.000,0.656,0.000
13,20,190,19,0.129,0.000,0.299,0.401,0.309,68.987,0.349,0.322,0.000,0.288,0.254,0.646,1.068,0.136,0.388,2.586,0.102,0.000,92.000,4.600,2.996,-0.000,6.000,0.000,0.729,0.000
14,20,190,19,0.137,0.000,0.261,0.336,0.312,0.327,0.287,0.285,0.000,0.294,0.239,0.401,0.244,0.151,0.299,2.165,0.151,0.000,88.000,4.400,2.996,-0.000,5.000,0.000,0.613,0.000
15,20,190,19,0.148,0.000,0.553,0.467,0.400,0.468,0.423,0.589,0.000,0.261,0.261,0.528,0.744,0.298,5.638,55.954,0.131,0.000,95.000,4.750,2.996,-0.000,5.000,0.000,0.695,0.000
16,20,190,19,0.154,0.000,0.296,6.806,0.363,0.355,0.394,0.219,0.000,0.251,0.233,1.673,5.702,0.146,0.333,1.851,0.096,0.000,79.000,3.950,2.996,-0.000,9.000,0.000,0.637,0.000
17,20,190,19,0.144,0.000,0.342,0.395,0.338,3.974,0.453,0.362,0.000,0.382,0.259,0.426,0.372,0.122,0.425,2.221,0.097,0.000,84.000,4.200,2.996,-0.000,9.000,0.000,0.757,0.000
18,20,190,19,0.188,0.000,0.232,0.366,0.242,0.270,0.397,0.261,0.000,3.638,1.960,2.249,1.866,0.120,0.369,3.541,0.104,0.000,77.000,3.850,2.996,-0.000,7.000,0.000,0.650,0.000
19,20,190,19,0.132,0.000,0.318,0.402,0.474,0.408,0.443,0.282,0.000,0.320,0.278,0.401,0.330,0.137,1.419,3.958,0.098,0.000,89.000,4.450,2.996,-0.000,6.000,0.000,0.727,0.000
20,20,190,19,0.128,0.000,0.303,0.351,0.467,0.374,0.340,0.237,0.000,0.210,0.292,2.183,1.022,0.166,0.455,5.756,0.095,0.000,78.000,3.900,2.996,-0.000,6.000,0.000,0.635,0.000
21,20,190,19,0.152,0.000,0.276,0.337,0.292,0.276,0.278,0.244,0.000,0.257,0.297,0.300,0.272,0.162,0.286,2.082,0.102,0.000,86.000,4.300,2.996,-0.000,7.000,0.000,0.658,0.000
22,20,190,19,0.116,0.000,1.584,1.648,0.699,0.339,1.397,0.359,0.000,0.327,0.367,0.478,0.403,0.127,0.334,13.511,0.102,0.000,76.000,3.800,2.996,-0.000,7.000,0.000,0.502,0.000
23,20,190,19,0.165,0.000,0.386,0.421,0.411,0.428,1.469,0.363,0.000,0.280,0.364,0.574,0.397,0.124,0.389,2.470,0.099,0.000,91.000,4.550,2.996,-0.000,7.000,0.000,0.664,0.000
24,20,190,19,0.124,0.000,0.242,0.227,0.234,0.333,0.214,0.194,0.000,0.188,0.203,0.231,0.229,0.207,0.320,2.076,0.098,0.000,89.000,4.450,2.996,-0.000,8.000,0.000,0.651,0.000
25,20,190,19,0.179,0.000,0.284,0.325,0.330,0.231,0.245,0.194,0.000,0.171,0.182,0.266,0.202,0.249,0.456,4.569,0.120,0.000,87.000,4.350,2.996,-0.000,6.000,0.000,0.612,0.000
26,20,190,19,0.164,0.000,0.242,0.325,0.302,0.330,0.283,0.276,0.000,0.341,0.297,0.420,0.248,0.206,0.448,2.745,0.100,0.000,98.000,4.900,2.996,-0.000,7.000,0.000,0.624,0.000
27,20,190,19,0.158,0.000,0.599,0.373,0.369,0.467,0.366,0.265,0.000,0.246,0.243,0.363,0.308,0.246,0.612,5.584,0.140,0.000,107.000,5.350,2.996,-0.000,7.000,0.000,0.767,0.000
28,20,190,19,0.129,0.000,0.235,0.227,12.243,0.389,0.218,0.181,0.000,0.185,0.240,2.458,22.068,18.912,0.287,2.537,0.103,0.000,82.000,4.100,2.996,-0.000,7.000,0.000,0.614,0.000
29,20,190,19,0.141,0.000,0.434,0.289,0.243,0.329,0.306,0.189,0.000,0.194,2.851,1.254,0.267,0.227,0.381,9.860,0.099,0.000,80.000,4.000,2.996,-0.000,7.000,0.000,0.653,0.000
30,20,190,19,0.151,0.000,0.265,0.333,0.259,0.331,0.302,0.225,0.000,0.249,0.230,0.270,0.248,0.229,0.462,2.588,0.105,0.000,73.000,3.650,2.996,-0.000,7.000,0.000,0.435,0.000
31,20,190,19,0.159,0.000,0.315,0.334,0.324,0.296,0.261,0.220,0.000,0.236,0.257,0.286,0.228,0.277,0.540,2.368,0.122,0.000,91.000,4.550,2.996,-0.000,6.000,0.000,0.701,0.000
32,20,190,19,0.173,0.000,0.302,0.394,0.267,0.280,0.264,0.218,0.000,0.378,0.254,0.309,10.530,0.198,0.625,5.308,0.101,0.000,98.000,4.900,2.996,-0.000,4.000,0.000,0.750,0.000
33,20,190,19,0.178,0.000,0.366,0.340,0.301,0.322,0.263,0.237,0.000,0.249,0.216,0.429,0.518,0.196,0.520,13.557,0.126,0.000,92.000,4.600,2.996,-0.000,5.000,0.000,0.640,0.000
34,20,190,19,0.208,0.000,0.211,0.275,0.199,9.560,0.261,0.190,0.000,0.204,0.199,0.329,0.217,0.173,0.375,2.122,0.099,0.000,89.000,4.450,2.996,-0.000,8.000,0.000,0.655,0.000
35,20,190,19,0.132,0.000,1.172,0.805,0.184,0.187,0.309,2.754,0.000,0.166,0.159,0.197,0.162,0.206,0.255,2.066,0.106,0.000,72.000,3.600,2.996,-0.000,8.000,0.000,0.503,0.000
36,20,190,19,0.129,0.000,0.222,0.246,0.234,0.240,0.193,0.193,0.000,0.197,0.198,0.245,0.206,0.150,0.389,1.810,0.096,0.000,76.000,3.800,2.996,-0.000,6.000,0.000,0.607,0.000
37,20,190,19,0.164,0.000,0.251,0.360,0.296,0.341,0.340,0.212,0.000,0.428,0.266,0.380,2.830,0.323,0.794,9.027,0.104,0.000,104.000,5.200,2.996,-0.000,6.000,0.000,0.675,0.000
